VIDEO_COUNT	OUTLET_ID	OUTLET_NAME
2204	101	SmithChannel.com
2030	204	Smith Mobile
1988	402	Smith Mobile Client
507	761	Smith_AppleTV_shows
374	301	Smith TV.com Mobile App 
325	361	Facebook_Smithsonian
324	201	Smithsonian Mag.com
250	421	Smith Podcast RSS
168	801	Smith POW Podcast RSS
58	981	Smith Earth
46	821	Smith_Canada
29	441	Smith Mobile Client FullEps
24	741	Smith TVE
19	841	Smith_KR
17	561	Smith WIS Podcast
14	601	Smith Forensic Firsts Podcast
13	861	Smith RAG Podcast
11	581	Smith Titanoboa Podcast
8	901	Verizon_Smithsonian
5	322	Smith 1939 mobile
5	203	Smithsonian Museum
